* モンスター（以前の形式）  [#de0cefec]

- パラメータについては各モンスターの詳細ページを参照してださい。
- 関連ページ
-- [[モンスター図鑑/最大値]]
-- [[入手方法]]
-- [[覚醒スキル]]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~名称			|~☆|~タイプ|~属|~CO|~スキル|~リーダースキル|~最大Lv|h
|800|[[技芸の女神・アメノウズメ>モンスター図鑑/0800]]	|6|神/バランス|BGCOLOR(#f1bba6):火|25|癒しの鼓舞|天尊の舞踏|99(400)|
|801&aname(no801);|[[ウミサチヤマサチ>モンスター図鑑/0801]]	|5|神|BGCOLOR(#a6f1f1):水木|20|山海の秘儀|山海の至宝|50(400)|
|802|[[漁猟の神・ウミサチヤマサチ>モンスター図鑑/0802]]	|6|神|BGCOLOR(#a6f1f1):水木|25|山海の秘儀|山海の至宝|99(400)|
|803|[[クシナダヒメ>モンスター図鑑/0803]]	|5|神|BGCOLOR(#bbf1a6):木|20|聡明なる神護|撫子の想い|50(400)|
|804|[[稲田の女神・クシナダヒメ>モンスター図鑑/0804]]	|6|神|BGCOLOR(#bbf1a6):木|25|聡明なる神護|撫子の想い|99(400)|
|805|[[イザナギ>モンスター図鑑/0805]]	|5|神|BGCOLOR(#f1f1a6):光|20|創造の息吹|現世の神効|50(400)|
|806|[[皇祖の神・イザナギ>モンスター図鑑/0806]]	|6|神|BGCOLOR(#f1f1a6):光|25|創造の息吹|現世の神効|99(400)|
|807|[[オオクニヌシ>モンスター図鑑/0807]]	|5|神|BGCOLOR(#bba6f1):闇|20|国建の妙技|結縁の神気|50(400)|
|808|[[国造の神・オオクニヌシ>モンスター図鑑/0808]]	|6|神/体力|BGCOLOR(#bba6f1):闇|25|国建の妙技|結縁の神気|99(400)|
|809|[[タケミナカタ>モンスター図鑑/0809]]	|5|神/体力|BGCOLOR(#f1f1a6):光|40|創焔の神風|武刀神の藤蔓|50(500)|
|810|[[冶金の軍神・タケミナカタ>モンスター図鑑/0810]]	|6|神/体力|BGCOLOR(#f1f1a6):光火|60|創焔の神風|武刀神の藤蔓|99(500)|
|811|[[皇妃神・イザナミ>モンスター図鑑/0811]]	|6|神/バランス|BGCOLOR(#f1f1a6):光水|40|慈愛の擁護|創世の神効|50(500)|
|812|[[万物の妃神・イザナミ>モンスター図鑑/0812]]	|7|神/バランス|BGCOLOR(#f1f1a6):光水|60|慈愛の擁護|創世の神効|99(500)|
|813|[[黄泉神・イザナミ>モンスター図鑑/0813]]	|6|神/体力|BGCOLOR(#bba6f1):闇火|40|黄泉の羽衣|黄泉の掟|50(500)|
|814|[[黄泉の主神・イザナミ>モンスター図鑑/0814]]	|7|神/体力|BGCOLOR(#bba6f1):闇火|60|黄泉の羽衣|黄泉の掟|99(500)|
|815|[[ドモヴォイ>モンスター図鑑/0815]]	|3|バランス|BGCOLOR(#f1f1a6):光|5|なし|なし|25(150)|
|816|[[ドン・ドモヴォイ>モンスター図鑑/0816]]	|4|バランス|BGCOLOR(#f1f1a6):光|10|クイックボム|ドンのサバイバル術|70(300)|
|817|[[グレンデル>モンスター図鑑/0817]]	|3|体力|BGCOLOR(#f1bba6):火|10|なし|なし|25(150)|
|818|[[グレンデルサンタン>モンスター図鑑/0818]]	|4|体力|BGCOLOR(#f1bba6):火|15|鉄壁の構え|巨人の魂|70(300)|
|819|[[フルングニル>モンスター図鑑/0819]]	|5|体力|BGCOLOR(#a6f1f1):水木|40|冷気の波動|首長の誇り|50(500)|
|820|[[絶対零度フルングニル>モンスター図鑑/0820]]	|6|体力|BGCOLOR(#a6f1f1):水木|50|冷気の波動|首長の誇り|99(500)|
|821|[[恋するアン・パント・ケットバス>モンスター図鑑/0821]]	|6|バランス|BGCOLOR(#f1f1a6):光光|30|スイーツシュート改|我がまま姫の愛情|99(300)|
|822|[[バーンフェニックスナイト・ホムラ>モンスター図鑑/0822]]	|6|バランス|BGCOLOR(#f1bba6):火火|24|ドロップ変化・火|不死鳥の霊炎|99(300)|
|823|[[フラッドフェンリルナイト・カムイ>モンスター図鑑/0823]]	|6|バランス|BGCOLOR(#a6f1f1):水水|24|ドロップ変化・水|神狼の輝牙|99(300)|
|824|[[エンシェントドラゴンナイト・セロ>モンスター図鑑/0824]]	|6|ドラゴン/バランス|BGCOLOR(#bbf1a6):木木|24|ドロップ変化・木|龍騎士の激昂|99(300)|
|825|[[スカイゴッドナイト・ヴァーチェ>モンスター図鑑/0825]]	|6|神/バランス|BGCOLOR(#f1f1a6):光光|24|ドロップ変化・光|大いなる天啓|99(300)|
|826|[[カオスドラゴンナイト・ヴォイス>モンスター図鑑/0826]]	|6|ドラゴン/バランス|BGCOLOR(#bba6f1):闇闇|24|ドロップ変化・闇|龍騎士の覚悟|99(300)|
|827|[[修験鬼・ショウキ>モンスター図鑑/0827]]	|3|体力|BGCOLOR(#f1f1a6):光|7|なし|根性|25(200)|
|828|[[光の守護鬼・ショウキ>モンスター図鑑/0828]]	|4|体力|BGCOLOR(#f1f1a6):光|11|サンダーストライク|根性|70(200)|
|829|[[修験鬼・ジャキ>モンスター図鑑/0829]]	|3|体力|BGCOLOR(#bba6f1):闇|7|なし|根性|25(200)|
|830|[[闇の守護鬼・ジャキ>モンスター図鑑/0830]]	|4|体力|BGCOLOR(#bba6f1):闇|11|ダークストライク|根性|70(200)|
|831|[[トップ・ドロイドラゴン>モンスター図鑑/0831]]	|6|体力/ドラゴン|BGCOLOR(#bbf1a6):木水|25|ググる|超メタリックボディ|99(300)|
|832|[[コズクラ>モンスター図鑑/0832]]	|2|体力|BGCOLOR(#a6f1f1):水|5|なし|なし|15(100)|
|833|[[フクラギ>モンスター図鑑/0833]]	|3|体力|BGCOLOR(#a6f1f1):水|10|なし|富山湾の恵み|25(150)|
|834|[[ブリ>モンスター図鑑/0834]]	|4|体力|BGCOLOR(#a6f1f1):水|12|きときと|富山湾の幸|70(300)|
|835|[[富山湾の王者・ブリ>モンスター図鑑/0835]]	|5|体力|BGCOLOR(#a6f1f1):水水|20|きときと|富山湾の至宝|99(400)|
|836|[[ホタルイカ>モンスター図鑑/0836]]	|3|攻撃|BGCOLOR(#f1f1a6):光|8|なし|なし|25(150)|
|837|[[富山湾の神秘・ホタルイカ>モンスター図鑑/0837]]	|4|攻撃|BGCOLOR(#f1f1a6):光|12|閃光の結界|沖漬けの旨味|70(300)|
|838|[[シロエビ>モンスター図鑑/0838]]	|3|バランス|BGCOLOR(#f1bba6):火|8|なし|なし|25(150)|
|839|[[富山湾の宝石・シロエビ>モンスター図鑑/0839]]	|4|バランス|BGCOLOR(#f1bba6):火|12|ドロップ強化・火|やっとかっと|70(300)|
|840|[[あみたん>モンスター図鑑/0840]]	|5|神|BGCOLOR(#bbf1a6):木|15|ほほえみの掌|あみたんの御加護|50(400)|
|841|[[阿弥貴＆カノン＆セシル>モンスター図鑑/0841]]	|6|神|BGCOLOR(#bbf1a6):木光|25|ほほえみの掌|あみたんの御加護|99(400)|
|842|[[DDQ・ドレイク>モンスター図鑑/0842]]	|5|ドラゴン|BGCOLOR(#f1bba6):火|20|ブレイズブレス|翼竜の意志|50(400)|
|843|[[DDQ・ドラゴン>モンスター図鑑/0843]]	|6|ドラゴン/攻撃|BGCOLOR(#f1bba6):火|30|ブレイズブレス|翼竜の使命|99(400)|
|844|[[DDQ・リザードマン>モンスター図鑑/0844]]	|3|攻撃|BGCOLOR(#a6f1f1):水|6|なし|龍人の秘力|25(150)|
|845|[[DDQ・ドラゴニュート>モンスター図鑑/0845]]	|4|攻撃|BGCOLOR(#a6f1f1):水|12|ダブル攻撃態勢・水|龍人の秘力|70(300)|
|846|[[DDQ・ベヘモット>モンスター図鑑/0846]]	|3|体力|BGCOLOR(#bbf1a6):木|6|なし|巨獣の秘力|25(150)|
|847|[[DDQ・キングベヘモット>モンスター図鑑/0847]]	|4|体力|BGCOLOR(#bbf1a6):木|12|大地の結界|巨獣の秘力|70(300)|
|848|[[DDQ・スケルトン>モンスター図鑑/0848]]	|3|バランス|BGCOLOR(#bba6f1):闇|6|なし|不死の秘力|25(150)|
|849|[[DDQ・スケルトンロード>モンスター図鑑/0849]]	|4|バランス|BGCOLOR(#bba6f1):闇|12|魔槍グングニール|不死の秘力|70(300)|
|850|[[DDQ・ディフェンダー>モンスター図鑑/0850]]	|4|体力|BGCOLOR(#f1f1a6):光|12|クイックキュアー|邪攻反射|25(150)|
|851|[[DDQ・アークガーディアン>モンスター図鑑/0851]]	|5|体力|BGCOLOR(#f1f1a6):光水|20|クイックキュアー|邪攻反射|99(300)|
|852|[[DDQ・マジックアーチャー>モンスター図鑑/0852]]	|3|バランス|BGCOLOR(#f1bba6):火|8|なし|ポイズンアタック|25(150)|
|853|[[DDQ・ポイズンエンチャンター>モンスター図鑑/0853]]	|4|バランス|BGCOLOR(#f1bba6):火闇|12|炎の呪い|ポイズンアタック|70(300)|
|854|[[ジャギィネコ>モンスター図鑑/0854]]	|4|攻撃|BGCOLOR(#bba6f1):闇|10|気合を入れるニャ！|闇耐性強化＜中＞|50(300)|
|855|[[ドスジャギィ＆ジャギィネコ>モンスター図鑑/0855]]	|5|攻撃/ドラゴン|BGCOLOR(#bba6f1):闇闇|20|気合を入れるニャ！|闇耐性強化＜大＞|99(300)|
|856|[[フロギィネコ>モンスター図鑑/0856]]	|4|バランス|BGCOLOR(#f1bba6):火|10|堅実にいくニャ！|火耐性強化＜中＞|50(300)|
|857|[[ドスフロギィ＆フロギィネコ>モンスター図鑑/0857]]	|5|バランス/ドラゴン|BGCOLOR(#f1bba6):火火|20|堅実にいくニャ！|火耐性強化＜大＞|99(300)|
|858|[[バギィネコ>モンスター図鑑/0858]]	|4|体力|BGCOLOR(#a6f1f1):水|10|ふんばるニャ！|水耐性強化＜中＞|50(300)|
|859|[[ドスバギィ＆バギィネコ>モンスター図鑑/0859]]	|5|体力/ドラゴン|BGCOLOR(#a6f1f1):水水|20|ふんばるニャ！|水耐性強化＜大＞|99(300)|
|860|[[ガーグァネコ>モンスター図鑑/0860]]	|4|回復|BGCOLOR(#f1f1a6):光|10|応援するニャ！|自然治癒＜中＞|50(300)|
|861|[[ガーグァ＆ガーグァネコ>モンスター図鑑/0861]]	|5|回復/ドラゴン|BGCOLOR(#f1f1a6):光光|20|応援するニャ！|自然治癒＜中＞|99(300)|
|862|[[ファンゴネコ>モンスター図鑑/0862]]	|4|バランス|BGCOLOR(#bbf1a6):木|10|突進準備ニャ！|木耐性強化＜中＞|50(300)|
|863|[[ドスファンゴ＆ファンゴネコ>モンスター図鑑/0863]]	|5|バランス/ドラゴン|BGCOLOR(#bbf1a6):木木|20|突進準備ニャ！|木耐性強化＜大＞|99(300)|
|864|[[リノプロネコ>モンスター図鑑/0864]]	|4|体力|BGCOLOR(#f1f1a6):光|10|力をためるニャ！|光耐性強化＜中＞|50(300)|
|865|[[リノプロス＆リノプロネコ>モンスター図鑑/0865]]	|5|体力/ドラゴン|BGCOLOR(#f1f1a6):光光|20|力をためるニャ！|光耐性強化＜大＞|99(300)|
|866|[[レウスネコ>モンスター図鑑/0866]]	|5|バランス|BGCOLOR(#f1bba6):火|15|一撃離脱ニャ！|火竜の怒り|50(400)|
|867|[[リオレウス＆レウスネコ>モンスター図鑑/0867]]	|6|バランス/ドラゴン|BGCOLOR(#f1bba6):火闇|25|一撃離脱ニャ！|火竜の怒り|99(400)|
|868|[[レイアネコ>モンスター図鑑/0868]]	|5|回復|BGCOLOR(#bbf1a6):木|15|スキありニャ！|雌火竜の誇り|50(400)|
|869|[[リオレイア＆レイアネコ>モンスター図鑑/0869]]	|6|回復/ドラゴン|BGCOLOR(#bbf1a6):木光|25|スキありニャ！|雌火竜の誇り|99(400)|
|870|[[ティラアイルー>モンスター図鑑/0870]]	|2|バランス|BGCOLOR(#f1bba6):火|7|なし|おかえしニャ！＜火＞|25(150)|
|871|[[爆炎龍ティラノス＆アイルー>モンスター図鑑/0871]]	|3|バランス/ドラゴン|BGCOLOR(#f1bba6):火|12|ドロップ強化・火|おかえしニャ！＜火＞|50(200)|
|872|[[プレシィアイルー>モンスター図鑑/0872]]	|2|バランス|BGCOLOR(#a6f1f1):水|7|なし|おかえしニャ！＜水＞|25(150)|
|873|[[氷塊龍プレシオス＆アイルー>モンスター図鑑/0873]]	|3|バランス/ドラゴン|BGCOLOR(#a6f1f1):水|12|ドロップ強化・水|おかえしニャ！＜水＞|50(200)|
|874|[[ブラッキィアイルー>モンスター図鑑/0874]]	|2|バランス|BGCOLOR(#bbf1a6):木|7|なし|おかえしニャ！＜木＞|25(150)|
|875|[[大花龍ブラキオス＆アイルー>モンスター図鑑/0875]]	|3|バランス/ドラゴン|BGCOLOR(#bbf1a6):木|12|ドロップ強化・木|おかえしニャ！＜木＞|50(200)|
|876|[[キンメタネコ>モンスター図鑑/0876]]	|4|バランス|BGCOLOR(#bba6f1):闇|15|本気だすニャ！|みんなを守るニャ！＜闇＞|50(150)|
|877|[[キングメタドラ＆キンメタネコ>モンスター図鑑/0877]]	|5|バランス/ドラゴン|BGCOLOR(#bba6f1):闇|20|本気だすニャ！|みんなを守るニャ！＜闇＞|99(400)|
|878|[[キンゴルネコ>モンスター図鑑/0878]]	|4|バランス|BGCOLOR(#f1f1a6):光|15|サポートするニャ！|コイン見つけたニャ！|50(150)|
|879|[[キングゴルドラ＆キンゴルネコ>モンスター図鑑/0879]]	|5|バランス/ドラゴン|BGCOLOR(#f1f1a6):光|20|サポートするニャ！|コイン見つけたニャ！|99(400)|
|880|[[覚醒オーディンネコ>モンスター図鑑/0880]]	|5|神/バランス|BGCOLOR(#bbf1a6):木光|25|ぐんぐにーるニャ！|オーディンハット|50(400)|
|881|[[覚醒オーディン＆オーディンネコ>モンスター図鑑/0881]]	|6|神/バランス|BGCOLOR(#bbf1a6):木光|45|ぐんぐにーるニャ！|オーディンハット|99(400)|
|882|[[騎迅轟破灼炎王アポロ>モンスター図鑑/0882]]	|6|バランス|BGCOLOR(#f1bba6):火水|25|オリンポスの炎|プシュケ・ネクタール|99(400)|
|883|[[光龍帝サイガ>モンスター図鑑/0883]]	|7|ドラゴン/神|BGCOLOR(#f1f1a6):光光|55|神羅万象|封印魔破|99(400)|
|884|[[はぐれ魂獣イヅナ>モンスター図鑑/0884]]	|4|回復|BGCOLOR(#bba6f1):闇|10|吸魔の光|魂獣解放|50(150)|
|885|[[白面金剛九尾イヅナ>モンスター図鑑/0885]]	|5|回復|BGCOLOR(#bba6f1):闇|20|吸魔の光|魂獣解放|99(300)|
|886|[[皇帝マステリオン>モンスター図鑑/0886]]	|5|悪魔|BGCOLOR(#bba6f1):闇|40|ダーク・ブラスター|皇帝統治領域|50(400)|
|887|[[魔王マステリオン>モンスター図鑑/0887]]	|6|悪魔|BGCOLOR(#bba6f1):闇|50|ダーク・ブラスター|皇魔族統治領域|99(400)|
|888|[[響奏の愛猫神・バステト>モンスター図鑑/0888]]	|7|神/回復|BGCOLOR(#bbf1a6):木光|35|スプレッドキャッツ|キャットオーケストラ|99(400)|
|889|[[狂荒の戦軍神・アレス>モンスター図鑑/0889]]	|7|神/攻撃|BGCOLOR(#f1bba6):火闇|35|ダブル攻撃態勢・火|戦軍神の秘法|99(400)|
|890|[[夢来の商業神・ヘルメス>モンスター図鑑/0890]]	|7|神/体力|BGCOLOR(#a6f1f1):水光|35|ダブル攻撃態勢・水|商業神の秘法|99(400)|
|891|[[聖弓の狩猟神・アルテミス>モンスター図鑑/0891]]	|7|神/バランス|BGCOLOR(#bbf1a6):木光|35|ダブル攻撃態勢・木|狩猟神の秘法|99(400)|
|892|[[天弓の光明神・アポロン>モンスター図鑑/0892]]	|7|神/体力|BGCOLOR(#f1f1a6):光火|35|ダブル攻撃態勢・光|光明神の魂|99(400)|
|893|[[断罪の冥府神・ペルセポネ>モンスター図鑑/0893]]	|7|神/悪魔|BGCOLOR(#bba6f1):闇火|35|ダブル攻撃態勢・闇|冥府神の魂|99(400)|
|894|[[闇黒魔王・ヴァンパイアデューク>モンスター図鑑/0894]]	|6|バランス/悪魔|BGCOLOR(#bba6f1):闇水|35|攻撃態勢・闇|極夜の微笑|99(400)|
|895|[[魔焉皇帝・ヴァンパイアデューク>モンスター図鑑/0895]]	|6|体力/悪魔|BGCOLOR(#a6f1f1):水闇|35|攻撃態勢・闇|闇眷属の覇気|99(400)|
|896|[[レッドチェイサー>モンスター図鑑/0896]]	|3|体力/マシン|BGCOLOR(#f1bba6):火|6|なし|なし|25(150)|
|897|[[フレイムチェイサー>モンスター図鑑/0897]]	|4|体力/マシン|BGCOLOR(#f1bba6):火|12|南方七星陣|オーバーヒート|70(300)|
|898|[[ブルーチェイサー>モンスター図鑑/0898]]	|3|体力/マシン|BGCOLOR(#a6f1f1):水|6|なし|なし|25(150)|
|899|[[アクアチェイサー>モンスター図鑑/0899]]	|4|体力/マシン|BGCOLOR(#a6f1f1):水|12|東方七星陣|ハイドロシェル|70(300)|
|900|[[グリーンチェイサー>モンスター図鑑/0900]]	|3|体力/マシン|BGCOLOR(#bbf1a6):木|6|なし|なし|25(150)|
|901&aname(no901);|[[ウィンドチェイサー>モンスター図鑑/0901]]	|4|体力/マシン|BGCOLOR(#bbf1a6):木|12|北方七星陣|エアロストリーム|70(300)|
|902|[[イエローチェイサー>モンスター図鑑/0902]]	|3|体力/マシン|BGCOLOR(#f1f1a6):光|6|なし|なし|25(150)|
|903|[[ライトニングチェイサー>モンスター図鑑/0903]]	|4|体力/マシン|BGCOLOR(#f1f1a6):光|12|クイックキュアー|サンダーウェポン|70(300)|
|904|[[パープルチェイサー>モンスター図鑑/0904]]	|3|体力/マシン|BGCOLOR(#bba6f1):闇|6|なし|なし|25(150)|
|905|[[ファントムチェイサー>モンスター図鑑/0905]]	|4|体力/マシン|BGCOLOR(#bba6f1):闇|12|西方七星陣|シャドウミスト|70(300)|
|906|[[フレイムバロン>モンスター図鑑/0906]]	|4|バランス|BGCOLOR(#f1bba6):火|11|ガードブレイク|人馬一体・撃|99(300)|
|907|[[アクアバロン>モンスター図鑑/0907]]	|4|バランス|BGCOLOR(#a6f1f1):水|11|ガードブレイク|人馬一体・命|99(300)|
|908|[[アースバロン >モンスター図鑑/0908]]	|4|バランス|BGCOLOR(#bbf1a6):木|11|ガードブレイク|人馬一体・命|99(300)|
|909|[[ホワイトバロン>モンスター図鑑/0909]]	|4|バランス|BGCOLOR(#f1f1a6):光|11|ガードブレイク|人馬一体・快|99(300)|
|910|[[ブラックバロン>モンスター図鑑/0910]]	|4|バランス|BGCOLOR(#bba6f1):闇|11|ガードブレイク|人馬一体・撃|99(300)|
|911|[[赤龍喚士・ソニア>モンスター図鑑/0911]]	|5|ドラゴン/悪魔|BGCOLOR(#f1bba6):火闇|30|継界召龍陣・火闇|魔龍族の誇り|50(500)|
|912|[[現世の赤龍喚士・ソニア>モンスター図鑑/0912]]	|6|ドラゴン/悪魔|BGCOLOR(#f1bba6):火闇|50|継界召龍陣・火闇|魔龍族の誇り|99(500)|
|913|[[緑龍喚士・ソニア>モンスター図鑑/0913]]	|6|ドラゴン/バランス|BGCOLOR(#bbf1a6):木闇|40|継界召龍陣・木闇|古龍族の系譜|50(500)|
|914|[[悠久の緑龍喚士・ソニア>モンスター図鑑/0914]]	|7|ドラゴン/バランス|BGCOLOR(#bbf1a6):木闇|60|継界召龍陣・木闇|古龍族の系譜|99(500)|
|915|[[エンジェリット>モンスター図鑑/0915]]	|7|進化用|BGCOLOR(#f1f1a6):光|1|（※不定期に変更）|なし|1|
|916|[[デビリット>モンスター図鑑/0916]]	|7|進化用|BGCOLOR(#bba6f1):闇|1|（※不定期に変更）|なし|1|
|917|[[超覚醒ゼウス>モンスター図鑑/0917]]	|8|神|BGCOLOR(#f1f1a6):光光|60|ラース・オブ・ゴッド|ソウル・オブ・ゼウス|99(400)|
|918|[[暗黒覚醒ゼウス>モンスター図鑑/0918]]	|8|神/悪魔|BGCOLOR(#bba6f1):闇光|60|ラース・オブ・ゴッド|ブラック・ディメンション|99(400)|
|919|[[炎戒の大精霊・シャイターン>モンスター図鑑/0919]]	|6|バランス/悪魔|BGCOLOR(#f1bba6):火火|26|爆炎の結界|炎の祈り|99(300)|
|920|[[慈水の大精霊・ウンディーネ>モンスター図鑑/0920]]	|6|バランス|BGCOLOR(#a6f1f1):水水|26|激流の結界|水の祈り|99(300)|
|921|[[風来の大精霊・シルフ>モンスター図鑑/0921]]	|6|バランス|BGCOLOR(#bbf1a6):木木|26|大地の結界|風の祈り|99(300)|
|922|[[宝輝の大精霊・ジーニャ>モンスター図鑑/0922]]	|6|バランス|BGCOLOR(#f1f1a6):光光|26|閃光の結界|光の祈り|99(300)|
|923|[[死兆の大精霊・タナトス>モンスター図鑑/0923]]	|6|バランス/悪魔|BGCOLOR(#bba6f1):闇闇|26|暗黒の結界|闇の祈り|99(300)|
|924|[[ジョーカー>モンスター図鑑/0924]]	|4|悪魔|BGCOLOR(#bba6f1):闇|10|キリングジョーク|イカれた黒幕|50(300)|
|925|[[ジョーカー＋Aブロッサム>モンスター図鑑/0925]]	|5|悪魔|BGCOLOR(#bba6f1):闇|20|キリングジョーク|イカれた黒幕|99(400)|
|926|[[キャットウーマン>モンスター図鑑/0926]]	|4|回復|BGCOLOR(#f1bba6):火|10|ナインライブス|マスターシーフ|50(300)|
|927|[[キャットウーマン＋Cクロー>モンスター図鑑/0927]]	|5|回復|BGCOLOR(#f1bba6):火火|20|ナインライブス|マスターシーフ|99(300)|
|928|[[ロビン>モンスター図鑑/0928]]	|4|バランス|BGCOLOR(#bbf1a6):木|10|バードラン|ボーイワンダー|50(300)|
|929|[[ロビン＋Eスティック>モンスター図鑑/0929]]	|5|バランス|BGCOLOR(#bbf1a6):木木|20|バードラン|ボーイワンダー|99(300)|
|930|[[バットマン＋Sグローブ>モンスター図鑑/0930]]	|5|体力|BGCOLOR(#bba6f1):闇光|15|エレクトリックインパクト|ゴッサムプロテクター|50(400)|
|931|[[バットマン＋SグローブAct>モンスター図鑑/0931]]	|6|体力|BGCOLOR(#bba6f1):闇光|25|エレクトリックインパクト|ゴッサムプロテクター|99(400)|
|932|[[バットマン＋バットラング>モンスター図鑑/0932]]	|4|攻撃|BGCOLOR(#bba6f1):闇闇|10|インティミデーション|ダークナイト|50(300)|
|933|[[バットマン＋遠隔クロー>モンスター図鑑/0933]]	|5|攻撃|BGCOLOR(#bba6f1):闇闇|20|インティミデーション|ダークナイト|99(300)|
|934|[[バットマン＋バットウィング>モンスター図鑑/0934]]	|5|バランス|BGCOLOR(#bba6f1):闇水|15|バットウィング|スーパーソニック|50(400)|
