* 進化合成 [#ze6474f1]

#style(class=panelNote){{
このページは編集者不足による更新停止中です。
//ちなみに編集は誰でも行うことが可能です･･･。
}}

- 一部モンスターはLv最大になると進化が可能になる
- 進化するためにはそれぞれ決められた素材モンスターが必要
-- 「爆炎龍ティラノス」に進化するのに必要なモンスターは「ティラノス」の欄を参照
-- 「なし」はこれ以上進化しないということ

//外部サイトのリンクは[[リンク]]へ

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~ベースモンスター		|~進化に必要なモンスター|~進化結果|
|728|[[CoC・ドラゴン>モンスター図鑑/0728]]|&mons171; &mons153; &mons154; &mons227; &mons227;|[[CoC・クリムゾンドラゴン>モンスター図鑑/0729]]|
|729|[[CoC・クリムゾンドラゴン>モンスター図鑑/0729]]|なし||
|730|[[CoC・P.E.K.K.A>モンスター図鑑/0730]]|&mons151; &mons151; &mons321; &mons250; &mons251;|[[CoC・ナイトメアP.E.K.K.A>モンスター図鑑/0731]]|
|731|[[CoC・ナイトメアP.E.K.K.A>モンスター図鑑/0731]]|なし||
|732|[[赤チョコボ＆チョコボ士>モンスター図鑑/0732]]|なし||
|733|[[青チョコボ＆チョコボ士>モンスター図鑑/0733]]|なし||
|734|[[緑チョコボ＆チョコボ士>モンスター図鑑/0734]]|なし||
|735|[[モーグリ＆カーバンクル＆チョコボ>モンスター図鑑/0735]]|なし||
|736|[[モルボルキング＆トンベリキング>モンスター図鑑/0736]]|なし||
|737|[[緋石龍・ヒヒイロカネ>モンスター図鑑/0737]]|なし||
|738|[[蒼石龍・ミスリル>モンスター図鑑/0738]]|[[究極進化]]||
|739|[[翠石龍・アダマント>モンスター図鑑/0739]]|なし||
|740|[[虹石龍・オリハルコン>モンスター図鑑/0740]]|なし||
|741|[[紫石龍・ダマスカス>モンスター図鑑/0741]]|なし||
|742|[[ドラりん>モンスター図鑑/0742]]|&mons168; &mons154; &mons153; &mons157; &mons160;|[[ドラりんナイト>モンスター図鑑/0743]]|
|743|[[ドラりんナイト>モンスター図鑑/0743]]|&mons234; &mons149; &mons227; &mons248; &mons260;|[[エンシェントドラりんナイト>モンスター図鑑/0744]]|
|744|[[エンシェントドラりんナイト>モンスター図鑑/0744]]|[[究極進化]]||
|745|[[朱雀の化身・レイラン>モンスター図鑑/0745]]|&mons147; &mons171; &mons246; &mons246; &mons251;|[[天導の朱雀・レイラン>モンスター図鑑/0746]]|
|746|[[天導の朱雀・レイラン>モンスター図鑑/0746]]|[[究極進化]]||
|747|[[青龍の化身・カリン>モンスター図鑑/0747]]|&mons148; &mons172; &mons247; &mons247; &mons251;|[[命護の青龍・カリン>モンスター図鑑/0748]]|
|748|[[命護の青龍・カリン>モンスター図鑑/0748]]|[[究極進化]]||
|749|[[玄武の化身・メイメイ>モンスター図鑑/0749]]|&mons149; &mons173; &mons248; &mons248; &mons251;|[[地鎮の玄武・メイメイ>モンスター図鑑/0750]]|
|750|[[地鎮の玄武・メイメイ>モンスター図鑑/0750]]|[[究極進化]]||
|751|[[麒麟の化身・サクヤ>モンスター図鑑/0751]]|&mons150; &mons174; &mons249; &mons249; &mons251;|[[極光の麒麟・サクヤ>モンスター図鑑/0752]]|
|752|[[極光の麒麟・サクヤ>モンスター図鑑/0752]]|[[究極進化]]||
|753|[[白虎の化身・ハク>モンスター図鑑/0753]]|&mons151; &mons175; &mons250; &mons250; &mons251;|[[霊護の白虎・ハク>モンスター図鑑/0754]]|
|754|[[霊護の白虎・ハク>モンスター図鑑/0754]]|[[究極進化]]||
|755|[[紅蓮龍神・ヒノカグツチ>モンスター図鑑/0755]]|なし||
|756|[[焔獄蛇神・ヒノカグツチ>モンスター図鑑/0756]]|なし||
|757|[[灼爪龍・フレアドラール>モンスター図鑑/0757]]|なし||
|758|[[穿鮫龍・メガロドラン>モンスター図鑑/0758]]|なし||
|759|[[角砦龍・フォートトイトプス>モンスター図鑑/0759]]|なし||
|760|[[聖獣龍・エンジェリオン>モンスター図鑑/0760]]|なし||
|761|[[道化龍・ドラウンジョーカー>モンスター図鑑/0761]]|なし||
|762|[[OCTOPUS>モンスター図鑑/0762]]|&mons161; &mons161; &mons161;|[[OCTOPUS Ver.2>モンスター図鑑/0763]]|
|763|[[OCTOPUS Ver.2>モンスター図鑑/0763]]|なし||
|764|[[CRAB>モンスター図鑑/0764]]|&mons156; &mons156; &mons156;|[[CRAB Ver.2>モンスター図鑑/0765]]|
|765|[[CRAB Ver.2>モンスター図鑑/0765]]|なし||
|766|[[SQUID>モンスター図鑑/0766]]|&mons154; &mons154; &mons154;|[[SQUID Ver.2>モンスター図鑑/0767]]|
|767|[[SQUID Ver.2>モンスター図鑑/0767]]|なし||
|768|[[GC CRAB>モンスター図鑑/0768]]|&mons150; &mons174; &mons234; &mons249; &mons249;|[[GC CRAB Ver.2>モンスター図鑑/0769]]|
|769|[[GC CRAB Ver.2>モンスター図鑑/0769]]|[[究極進化]]||
|770|[[UFO>モンスター図鑑/0770]]|&mons151; &mons151; &mons250; &mons250; &mons251;|[[UFO Ver.2>モンスター図鑑/0771]]|
|771|[[UFO Ver.2>モンスター図鑑/0771]]|なし||
|772|[[緋天蒼龍・エルドラド>モンスター図鑑/0772]]|なし||
|773|[[蒼天夜龍・ニライカナイ>モンスター図鑑/0773]]|なし||
|774|[[樹天緋龍・ホウライ>モンスター図鑑/0774]]|なし||
|775|[[聖天樹龍・シャングリラ>モンスター図鑑/0775]]|なし||
|776|[[夜天聖龍・エリュシオン>モンスター図鑑/0776]]|なし||
|777|[[大天狗>モンスター図鑑/0777]]|&mons149; &mons149; &mons321; &mons173; &mons248;|[[霊峰の破戒神・大天狗>モンスター図鑑/0778]]|
|778|[[霊峰の破戒神・大天狗>モンスター図鑑/0778]]|[[究極進化]]||
|779|[[こだま>モンスター図鑑/0779]]|なし||
|780|[[黄龍の化身・ファガン>モンスター図鑑/0780]]|&mons254; &mons257; &mons260; &mons181; &mons178;|[[星帝の黄龍・ファガン>モンスター図鑑/0781]]|
|781|[[星帝の黄龍・ファガン>モンスター図鑑/0781]]|[[究極進化]]||
|782|[[神秘の巨石龍・バールベック>モンスター図鑑/0782]]|なし||
|783|[[神秘の天体龍・アンティキティラ>モンスター図鑑/0783]]|[[究極進化]]||
|784|[[神秘の絵画龍・ナスカ>モンスター図鑑/0784]]|なし||
|785|[[神秘の結晶龍・クリスタルスカル>モンスター図鑑/0785]]|[[究極進化]]||
|786|[[神秘の円盤龍・ネブラディスク>モンスター図鑑/0786]]|なし||
|787|[[ミノタウロス>モンスター図鑑/0787]]|&mons147; &mons161; &mons166;|[[迷宮の獣人・ミノタウロス>モンスター図鑑/0788]]|
|788|[[迷宮の獣人・ミノタウロス>モンスター図鑑/0788]]|なし||
|789|[[コカトリス>モンスター図鑑/0789]]|&mons162; &mons167; &mons156;|[[魔眼の怪鳥・コカトリス>モンスター図鑑/0790]]|
|790|[[魔眼の怪鳥・コカトリス>モンスター図鑑/0790]]|なし||
|791|[[ケンタウロス>モンスター図鑑/0791]]|&mons149; &mons163; &mons153;|[[疾駆の人馬・ケンタウロス>モンスター図鑑/0792]]|
|792|[[疾駆の人馬・ケンタウロス>モンスター図鑑/0792]]|なし||
|793|[[サイクロプス>モンスター図鑑/0793]]|&mons150; &mons158; &mons158;|[[雷光の巨漢・サイクロプス>モンスター図鑑/0794]]|
|794|[[雷光の巨漢・サイクロプス>モンスター図鑑/0794]]|なし||
|795|[[ダークレディ>モンスター図鑑/0795]]|&mons151; &mons165; &mons159;|[[魅惑の夜魔・ダークレディ>モンスター図鑑/0796]]|
|796|[[魅惑の夜魔・ダークレディ>モンスター図鑑/0796]]|なし||
|797|[[たまドラ>モンスター図鑑/0797]]|なし||
|798|[[サンバルビードラゴン>モンスター図鑑/0798]]|なし||
|799|[[アメノウズメ>モンスター図鑑/0799]]|&mons147; &mons171; &mons234; &mons246; &mons246;|[[技芸の女神・アメノウズメ>モンスター図鑑/0800]]|
|800|[[技芸の女神・アメノウズメ>モンスター図鑑/0800]]|[[究極進化]]||
|801&aname(no801);|[[ウミサチヤマサチ>モンスター図鑑/0801]]|&mons148; &mons149; &mons234; &mons247; &mons248;|[[漁猟の神・ウミサチヤマサチ>モンスター図鑑/0802]]|
|802|[[漁猟の神・ウミサチヤマサチ>モンスター図鑑/0802]]|[[究極進化]]||
|803|[[クシナダヒメ>モンスター図鑑/0803]]|&mons149; &mons173; &mons234; &mons248; &mons248;|[[稲田の女神・クシナダヒメ>モンスター図鑑/0804]]|
|804|[[稲田の女神・クシナダヒメ>モンスター図鑑/0804]]|[[究極進化]]||
|805|[[イザナギ>モンスター図鑑/0805]]| &mons150; &mons174; &mons234; &mons249; &mons249;|[[皇祖の神・イザナギ>モンスター図鑑/0806]]|
|806|[[皇祖の神・イザナギ>モンスター図鑑/0806]]|[[究極進化]]||
|807|[[オオクニヌシ>モンスター図鑑/0807]]| &mons151; &mons175; &mons234; &mons250; &mons250;|[[国造の神・オオクニヌシ>モンスター図鑑/0808]]|
|808|[[国造の神・オオクニヌシ>モンスター図鑑/0808]]|[[究極進化]]||
|809|[[タケミナカタ>モンスター図鑑/0809]]|&mons150; &mons150; &mons234; &mons246; &mons251;|[[冶金の軍神・タケミナカタ>モンスター図鑑/0810]]|
|810|[[冶金の軍神・タケミナカタ>モンスター図鑑/0810]]|なし||
|811|[[皇妃神・イザナミ>モンスター図鑑/0811]]|&mons321; &mons174; &mons247; &mons249; &mons251;|[[万物の妃神・イザナミ>モンスター図鑑/0812]]|
|812|[[万物の妃神・イザナミ>モンスター図鑑/0812]]|なし||
|813|[[黄泉神・イザナミ>モンスター図鑑/0813]]|&mons321; &mons175; &mons246; &mons250; &mons251;|[[黄泉の主神・イザナミ>モンスター図鑑/0814]]|
|814|[[黄泉の主神・イザナミ>モンスター図鑑/0814]]|[[究極進化]]||
|815|[[ドモヴォイ>モンスター図鑑/0815]]|&mons169; &mons158; &mons158;|[[ドン・ドモヴォイ>モンスター図鑑/0816]]|
|816|[[ドン・ドモヴォイ>モンスター図鑑/0816]]|なし||
|817|[[グレンデル>モンスター図鑑/0817]]|&mons147; &mons147; &mons166;|[[グレンデルサンタン>モンスター図鑑/0818]]|
|818|[[グレンデルサンタン>モンスター図鑑/0818]]|なし||
|819|[[フルングニル>モンスター図鑑/0819]]|&mons321; &mons321; &mons148; &mons148; &mons149;|[[絶対零度フルングニル>モンスター図鑑/0820]]|
|820|[[絶対零度フルングニル>モンスター図鑑/0820]]|なし||
|821|[[恋するアン・パント・ケットバス>モンスター図鑑/0821]]|なし||
|822|[[バーンフェニックスナイト・ホムラ>モンスター図鑑/0822]]|なし||
|823|[[フラッドフェンリルナイト・カムイ>モンスター図鑑/0823]]|なし||
|824|[[エンシェントドラゴンナイト・セロ>モンスター図鑑/0824]]|なし||
|825|[[スカイゴッドナイト・ヴァーチェ>モンスター図鑑/0825]]|なし||
|826|[[カオスドラゴンナイト・ヴォイス>モンスター図鑑/0826]]|なし||
|827|[[修験鬼・ショウキ>モンスター図鑑/0827]]|&mons150; &mons169; &mons169;|[[光の守護鬼・ショウキ>モンスター図鑑/0828]]|
|828|[[光の守護鬼・ショウキ>モンスター図鑑/0828]]|なし||
|829|[[修験鬼・ジャキ>モンスター図鑑/0829]]|&mons151; &mons170; &mons170;|[[闇の守護鬼・ジャキ>モンスター図鑑/0830]]|
|830|[[闇の守護鬼・ジャキ>モンスター図鑑/0830]]|なし||
|831|[[トップ・ドロイドラゴン>モンスター図鑑/0831]]|なし||
|832|[[コズクラ>モンスター図鑑/0832]]|&mons156; &mons156;|[[フクラギ>モンスター図鑑/0833]]|
|833|[[フクラギ>モンスター図鑑/0833]]|&mons162; &mons156; &mons156;|[[ブリ>モンスター図鑑/0834]]|
|834|[[ブリ>モンスター図鑑/0834]]|&mons247; &mons247; &mons247; &mons247; &mons247;|[[富山湾の王者・ブリ>モンスター図鑑/0835]]|
|835|[[富山湾の王者・ブリ>モンスター図鑑/0835]]|[[究極進化]]||
|836|[[ホタルイカ>モンスター図鑑/0836]]|&mons164; &mons158; &mons158;|[[富山湾の神秘・ホタルイカ>モンスター図鑑/0837]]|
|837|[[富山湾の神秘・ホタルイカ>モンスター図鑑/0837]]|なし||
|838|[[シロエビ>モンスター図鑑/0838]]|&mons161; &mons155; &mons155;|[[富山湾の宝石・シロエビ>モンスター図鑑/0839]]|
|839|[[富山湾の宝石・シロエビ>モンスター図鑑/0839]]|なし||
|840|[[あみたん>モンスター図鑑/0840]]|&mons149; &mons150; &mons321; &mons173; &mons251;|[[阿弥貴＆カノン＆セシル>モンスター図鑑/0841]]|
|841|[[阿弥貴＆カノン＆セシル>モンスター図鑑/0841]]|なし||
|842|[[DDQ・ドレイク>モンスター図鑑/0842]]|&mons147; &mons227; &mons227; &mons246; &mons251;|[[DDQ・ドラゴン>モンスター図鑑/0843]]|
|843|[[DDQ・ドラゴン>モンスター図鑑/0843]]|なし||
|844|[[DDQ・リザードマン>モンスター図鑑/0844]]|&mons167; &mons167; &mons153;|[[DDQ・ドラゴニュート>モンスター図鑑/0845]]|
|845|[[DDQ・ドラゴニュート>モンスター図鑑/0845]]|なし||
|846|[[DDQ・ベヘモット>モンスター図鑑/0846]]|&mons168; &mons154; &mons157;|[[DDQ・キングベヘモット>モンスター図鑑/0847]]|
|847|[[DDQ・キングベヘモット>モンスター図鑑/0847]]|なし||
|848|[[DDQ・スケルトン>モンスター図鑑/0848]]|&mons151; &mons159; &mons159;|[[DDQ・スケルトンロード>モンスター図鑑/0849]]|
|849|[[DDQ・スケルトンロード>モンスター図鑑/0849]]|なし||
|850|[[DDQ・ディフェンダー>モンスター図鑑/0850]]|&mons148; &mons150; &mons321; &mons174; &mons160;|[[DDQ・アークガーディアン>モンスター図鑑/0851]]|
|851|[[DDQ・アークガーディアン>モンスター図鑑/0851]]|なし||
|852|[[DDQ・マジックアーチャー>モンスター図鑑/0852]]|&mons147; &mons151; &mons171;|[[DDQ・ポイズンエンチャンター>モンスター図鑑/0853]]|
|853|[[DDQ・ポイズンエンチャンター>モンスター図鑑/0853]]|なし||
|854|[[ジャギィネコ>モンスター図鑑/0854]]|&mons175; &mons154; &mons160; &mons250;|[[ドスジャギィ＆ジャギィネコ>モンスター図鑑/0855]]|
|855|[[ドスジャギィ＆ジャギィネコ>モンスター図鑑/0855]]|なし||
|856|[[フロギィネコ>モンスター図鑑/0856]]|&mons171; &mons154; &mons160; &mons246;|[[ドスフロギィ＆フロギィネコ>モンスター図鑑/0857]]|
|857|[[ドスフロギィ＆フロギィネコ>モンスター図鑑/0857]]|なし||
|858|[[バギィネコ>モンスター図鑑/0858]]|&mons172; &mons154; &mons160; &mons247;|[[ドスバギィ＆バギィネコ>モンスター図鑑/0859]]|
|859|[[ドスバギィ＆バギィネコ>モンスター図鑑/0859]]|なし||
|860|[[ガーグァネコ>モンスター図鑑/0860]]|&mons174; &mons227; &mons160; &mons249;|[[ガーグァ＆ガーグァネコ>モンスター図鑑/0861]]|
|861|[[ガーグァ＆ガーグァネコ>モンスター図鑑/0861]]|なし||
|862|[[ファンゴネコ>モンスター図鑑/0862]]|&mons173; &mons154; &mons160; &mons248;|[[ドスファンゴ＆ファンゴネコ>モンスター図鑑/0863]]|
|863|[[ドスファンゴ＆ファンゴネコ>モンスター図鑑/0863]]|なし||
|864|[[リノプロネコ>モンスター図鑑/0864]]|&mons169; &mons154; &mons249; &mons249;|[[リノプロス＆リノプロネコ>モンスター図鑑/0865]]|
|865|[[リノプロス＆リノプロネコ>モンスター図鑑/0865]]|なし||
|866|[[レウスネコ>モンスター図鑑/0866]]|&mons147; &mons227; &mons246; &mons250; &mons251;|[[リオレウス＆レウスネコ>モンスター図鑑/0867]]|
|867|[[リオレウス＆レウスネコ>モンスター図鑑/0867]]|[[究極進化]]||
|868|[[レイアネコ>モンスター図鑑/0868]]|&mons149; &mons227; &mons248; &mons249; &mons251;|[[リオレイア＆レイアネコ>モンスター図鑑/0869]]|
|869|[[リオレイア＆レイアネコ>モンスター図鑑/0869]]|[[究極進化]]||
|870|[[ティラアイルー>モンスター図鑑/0870]]|&mons154; &mons153; &mons155;|[[爆炎龍ティラノス＆アイルー>モンスター図鑑/0871]]|
|871|[[爆炎龍ティラノス＆アイルー>モンスター図鑑/0871]]|なし||
|872|[[プレシィアイルー>モンスター図鑑/0872]]|&mons154; &mons153; &mons156;|[[氷塊龍プレシオス＆アイルー>モンスター図鑑/0873]]|
|873|[[氷塊龍プレシオス＆アイルー>モンスター図鑑/0873]]|なし||
|874|[[ブラッキィアイルー>モンスター図鑑/0874]]|&mons154; &mons153; &mons157;|[[大花龍ブラキオス＆アイルー>モンスター図鑑/0875]]|
|875|[[大花龍ブラキオス＆アイルー>モンスター図鑑/0875]]|なし||
|876|[[キンメタネコ>モンスター図鑑/0876]]|&mons178; &mons151; &mons227; &mons250; &mons250;|[[キングメタドラ＆キンメタネコ>モンスター図鑑/0877]]|
|877|[[キングメタドラ＆キンメタネコ>モンスター図鑑/0877]]|なし||
|878|[[キンゴルネコ>モンスター図鑑/0878]]|&mons181; &mons150; &mons227; &mons249; &mons249;|[[キングゴルドラ＆キンゴルネコ>モンスター図鑑/0879]]|
|879|[[キングゴルドラ＆キンゴルネコ>モンスター図鑑/0879]]|なし||
|880|[[覚醒オーディンネコ>モンスター図鑑/0880]]|&mons321; &mons251; &mons248; &mons234; &mons173;|[[覚醒オーディン＆オーディンネコ>モンスター図鑑/0881]]|
|881|[[覚醒オーディン＆オーディンネコ>モンスター図鑑/0881]]|なし||
|882|[[騎迅轟破灼炎王アポロ>モンスター図鑑/0882]]|なし||
|883|[[光龍帝サイガ>モンスター図鑑/0883]]|なし||
|884|[[はぐれ魂獣イヅナ>モンスター図鑑/0884]]|&mons151; &mons170; &mons250; &mons250;|[[白面金剛九尾イヅナ>モンスター図鑑/0885]]|
|885|[[白面金剛九尾イヅナ>モンスター図鑑/0885]]|なし||
|886|[[皇帝マステリオン>モンスター図鑑/0886]]|&mons151; &mons321; &mons175; &mons250; &mons160;|[[魔王マステリオン>モンスター図鑑/0887]]|
|887|[[魔王マステリオン>モンスター図鑑/0887]]|[[究極進化]]||
