* リーダースキル [#e57a0767]

- リーダーと助っ人のモンスターのみ効果を発動する。
|ダブルエントリーシステム	|>|[攻撃]|攻撃タイプの攻撃力が3倍。|シンジ＆カヲル＆第13号機&br;シンジ＆カヲル＆第13号機・覚醒|&aname(ls0705,full,super){ls0705};|
|&font2(80%){しっこうしゃのもうぜい};執行者の猛勢		|>|[攻撃]|HP80％以下で、攻撃タイプの攻撃力が4倍。|執行者・メタトロン&br;神魔の執行者・メタトロン|&aname(ls0642,full,super){ls0642};|
|&font2(80%){こんどはおまえのばんだぜ};今度はおまえの番だぜ	|>|[攻撃]|HP満タン時、攻撃タイプの攻撃力が4倍。|青銅聖闘士・一輝|&aname(ls1434,full,super){ls1434};|
|&font2(80%){さいごにはおまえをたおす!!};最後にはおまえをたおす!!	|>|[攻撃]|HP満タン時、攻撃タイプの攻撃力が4倍。|青銅聖闘士・鳳凰星座の一輝|&aname(ls1435,full,super){ls1435};|
|&font2(80%){けっきのぎゆう};決起の義勇		|>|[攻撃]|HP50％以上で、攻撃タイプの攻撃力が3倍、回復力は1.5倍。|劉備&br;明徳の英傑神・劉備&br;克己の龍英傑・劉備|&aname(ls1235,full,super){ls1235};|
|&font2(80%){けっきのぶゆう};決起の武勇		|>|[攻撃]|HP50％以上で、攻撃タイプの攻撃力が3倍、回復力は1.5倍。|ミニ劉備&br;明徳の英傑神・ミニ劉備|&aname(ls1815,full,super){ls1815};|
|&font2(80%){けんにんのおうい};堅忍の王威		|>|[攻撃]|攻撃タイプのHPが1.35倍。&br;HP50％以上で、攻撃タイプの攻撃力が3.5倍。|護誓の英帝神・劉備|&aname(ls1742,full,super){ls1742};|
|アボミネーション		|>|[攻撃]|総HPが半減するが、攻撃タイプの攻撃力が3倍。|ドゥームズデイ&br;究極の生命体・ドゥームズデイ|&aname(ls1695,full,super){ls1695};|
|&font2(80%){だいいちだいまんだいきちのしんもん};大一大万大吉の神紋		|>|[攻撃]|攻撃タイプのHPが1.5倍。&br;スキル使用時、攻撃タイプの攻撃力が4倍。|石田三成&br;克明の諜報神・石田三成|&aname(ls2268,full,super){ls2268};|
|&font2(80%){だいちのめぐみ};大地の恵み		|>|[回復]|回復タイプのHPが2倍。|火の案内人・ミツキ&br;水の案内人・ルカ&br;木の案内人・カノ&br;光の案内人・フウ&br;闇の案内人・クロネ|&aname(ls0415,full,super){ls0415};|
|&font2(80%){ほしのめぐみ};星の恵み			|>|[回復]|回復タイプのHPが2.5倍。|焔尾の天狐・ミツキ&br;燎火の天狐・ミツキ&br;海洋の才女・ルカ&br;絶海の才女・ルカ&br;森羅の神子・カノ&br;祭祀の神子・カノ&br;草原の舞姫・フウ&br;遊牧の舞姫・フウ&br;宵闇の猫又・クロネ&br;幽幻の猫又・クロネ|&aname(ls0416,full,super){ls0416};|
|&font2(80%){すぴりっつ・ばーすと};魂獣解放			|>|[回復]|回復タイプの攻撃力が2倍。|はぐれ魂獣イヅナ&br;白面金剛九尾イヅナ|&aname(ls0884,full,super){ls0884};|
|さあーいくわよ！		|>|[回復]|回復タイプの攻撃力が2.5倍。|ブルマ|&aname(ls1804,full,super){ls1804};|
|&font2(80%){いくさおとめのほこり};戦乙女の誇り		|>|[回復]|回復タイプの攻撃力が2倍。|ワルキューレ|&aname(ls0225,full,super){ls0225};|
|ヴァルキリーソウル		|>|[回復]|回復タイプの攻撃力が2.5倍。|白盾の女神・ヴァルキリー&br;戦乙女・プリンセスヴァルキリー&br;麗乙女・プリンセスヴァルキリー&br;熾乙女・プリンセスヴァルキリー&br;烈乙女・プリンセスヴァルキリー&br;爽乙女・プリンセスヴァルキリー|&aname(ls0226,full,super){ls0226};|
|ヴァルキリーブレイヴァー	|>|[回復]|回復タイプの攻撃力が3倍。|薔薇戦姫・グレイスヴァルキリー&br;蒼翔麗姫・グレイスヴァルキリー&br;黒翼熾姫・グレイスヴァルキリー&br;凰華烈姫・グレイスヴァルキリー&br;茨戒爽姫・グレイスヴァルキリー|&aname(ls0694,full,super){ls0694};|
|ばるきりーぶれいばー	|>|[回復]|回復タイプの攻撃力が3倍。|薔薇戦姫・ミニぐれいすばるきりー|&aname(ls1785,full,super){ls1785};|
|&font2(80%){ちしょうのおうさ};智将の王佐		|>|[回復]|回復タイプの攻撃力が3倍。&br;[[勇壮の将軍神・孫権>モンスター図鑑/1740]]がチームにいるとHPが1.5倍。|周瑜|&aname(ls2103,full,super){ls2103};|
|&font2(80%){さいちのせんたつ};才知の先達		|>|[回復]|回復タイプの攻撃力が3倍。&br;[[天奏の聖華神・小喬>モンスター図鑑/1745]]がチームにいるとHPが1.5倍。|秀麗の智将軍・周瑜|&aname(ls2104,full,super){ls2104};|
|&font2(80%){きょうかにんじゅつ・ぎ};強化忍術・義		|>|[回復]|回復タイプのHPと攻撃力が1.5倍。|水の上忍|&aname(ls1527,full,super){ls1527};|
|&font2(80%){おやかたさまにはないしょよ};御館様には内緒よ		|>|[回復]|回復タイプのHPと攻撃力が1.5倍。|浜茶屋の娘・水の上忍|&aname(ls2285,full,super){ls2285};|
|&font2(80%){おうぎょくのきしどう};黄玉の騎士道		|>|[回復]|回復タイプのHPと攻撃力が2倍。|聖騎士・アークライン&br;蒼大剣の鎧騎士・アークライン|&aname(ls1655,full,super){ls1655};|
|&font2(80%){ぎょうこうのみて};暁光の御手		|>|[回復]|回復タイプのHPと攻撃力が2倍。|聖天地の守神・エンジェル|&aname(ls1104,full,super){ls1104};|
|セイクリッドアサルト	|>|[回復]|回復タイプのHPと攻撃力が2倍。|聖女の衛騎士・ユニコーン|&aname(ls1213,full,super){ls1213};|
|&font2(80%){さいごまでがんばるよっ};最後まで頑張るよっ		|>|[回復]|回復タイプのHPが1.5倍、攻撃力は2倍。|牧村チカ|&aname(ls1280,full,super){ls1280};|
|&font2(80%){みんな、おねがいね！};みんな、お願いね！		|>|[回復]|回復タイプのHPが1.5倍、攻撃力は2.5倍。|チカ＆戦女神・ミネルヴァ|&aname(ls1281,full,super){ls1281};|
|アイズ・オブ・ヘブン	|>|[回復]|回復タイプのHPが1.5倍、攻撃力は2.5倍。|サンダルフォン&br;覚醒サンダルフォン|&aname(ls1118,full,super){ls1118};|
|&font2(80%){ふたつぼしのきょうめい};双つ星の共鳴		|>|[回復]|回復タイプのHPが1.35倍、攻撃力は3倍。|永久の双星神・イズン＆イズーナ|&aname(ls1345,full,super){ls1345};|
|&font2(80%){せいれいのかご};精霊のカゴ		|>|[回復]|回復タイプのHPと回復力が1.5倍。|赤ずきん|&aname(ls1412,full,super){ls1412};|
|&font2(80%){くりすたるのひかり};クリスタルの光		|>|[回復]|回復タイプのHPと回復力が1.5倍。|究極召喚・モーグリ＆カーバンクル&br;モーグリ＆カーバンクル＆チョコボ|&aname(ls0592,full,super){ls0592};|
|&font2(80%){らんせをうれうしょうじょ};乱世を憂う少女		|>|[回復]|回復タイプの攻撃力が2倍。|水晶天子ヒカリ・天地|&aname(ls1984,full,super){ls1984};|
|&font2(80%){しんせかいのみこ};新世界の神子		|>|[回復]|回復タイプのHPと攻撃力が2倍。|水晶天子ヒカリ・一鬼|&aname(ls1985,full,super){ls1985};|
|&font2(80%){わたしになんのよう…};わたしになんの用…	|>|[回復]|回復タイプの攻撃力が2.5倍。|マミヤ|&aname(ls1874,full,super){ls1874};|
|&font2(80%){いいんだわたしはあのほしで};いいんだわたしはあの星で	|>|[回復]|回復タイプの攻撃力が2.5倍、回復力は1.5倍。|秘愛の女戦士・マミヤ|&aname(ls1875,full,super){ls1875};|
|&font2(80%){しのびよるきかい};忍び寄る奇怪		|>|[回復]|回復タイプの攻撃力と回復力が2倍。|フルフルネコ&br;フルフル＆フルフルネコ|&aname(ls1609,full,super){ls1609};|
|&font2(80%){しんれんほうのこころえ};心練法の心得		|>|[回復]|回復タイプの攻撃力と回復力が1.5倍。|初芽局|&aname(ls0557,full,super){ls0557};|
|&font2(80%){しんれんほうのごくい};心練法の極意		|>|[回復]|回復タイプの全パラメータが1.5倍。|蒼扇の夜叉・初芽局|&aname(ls0558,full,super){ls0558};|
|&font2(80%){しんれんほうのひでん};心練法の秘伝		|>|[回復]|回復タイプのHPと回復力が1.5倍、攻撃力は2倍。|蒼扇の夜叉姫・初芽局|&aname(ls1192,full,super){ls1192};|
|&font2(80%){せいしんぱしーじゅしん};聖神パシー受身		|>|[回復]|回復タイプのHPと回復力が1.2倍、攻撃力は3倍。|ヘッドロココ&br;エキドナロココ&br;幸七羽毛・ヘッドロココ|&aname(ls1487,full,super){ls1487};|
|&font2(80%){まよえるこひつじ};迷える子羊		|>|[回復]|回復タイプの攻撃力と回復力が1.5倍。|エモ|&aname(ls2047,full,super){ls2047};|
|ラジカルオレンジ		|>|[回復]|回復タイプの全パラメータが1.5倍。|時空ノ水晶・エモ＆タツノコ|&aname(ls2048,full,super){ls2048};|
|&font2(80%){わたしはきおくをとりもどす！};私は記憶を取り戻す	|>|[回復]|回復タイプの攻撃力と回復力が1.5倍。|フォーレン・ラズール|&aname(ls1286,full,super){ls1286};|
|&font2(80%){てんはわたしにみかたする};天は私に味方する		|>|[回復]|回復タイプの全パラメータが1.5倍。|フォーレン＆狩猟神・アルテミス|&aname(ls1287,full,super){ls1287};|
|フュージョンソウル		|>|[回復]|回復タイプの全パラメータが1.5倍。|ウル・キマイラ&br;ギーブル・キマイラ|&aname(ls1122,full,super){ls1122};|
|&font2(80%){はちじんのほんしつ};八陣の本質		|>|[回復]|HP満タン時、回復タイプの攻撃力が4倍。|命龍神・ミニ諸葛亮&br;天星の命龍神・ミニ諸葛亮|&aname(ls1823,full,super){ls1823};|
|&font2(80%){てんかいのはちじん};天界の八陣		|>|[回復]|HP満タン時、回復タイプの攻撃力が4.5倍((ver7.3で4倍→4.5倍に修正))。|命龍神・諸葛亮&br;天星の命龍神・諸葛亮|&aname(ls1374,full,super){ls1374};|
|だいこうしゃのせいせん	|>|[回復]|HP80％以上で、回復タイプの攻撃力が3倍。|神輝の代行者・メタトロンたまドラ|&aname(ls1469,full,super){ls1469};|
|&font2(80%){だいこうしゃのせいせん};代行者の聖戦		|>|[回復]|HP80％以上((ver6.1でHP満タン→HP80%以上に修正))で、回復タイプの攻撃力が3.5倍。|代行者・メタトロン&br;神輝の代行者・メタトロン|&aname(ls0640,full,super){ls0640};|
|&font2(80%){せいせんのしょうり};聖戦の掌理		|>|[回復]|回復タイプのHPが1.25倍。((ver7.2で追加))&br;HP50％以上で、回復タイプの攻撃力が3.5倍。|神書の管理者・メタトロン|&aname(ls1217,full,super){ls1217};|
|せいせんのしょうり		|>|[回復]|回復タイプのHPが1.25倍。&br;HP50％以上で、回復タイプの攻撃力が3.5倍。|神書の管理者・ミニめたとろん|&aname(ls1792,full,super){ls1792};|
|&font2(80%){こじのゆうこん};虎児の雄渾		|>|[回復]|HP50％以上で、回復タイプの攻撃力が3倍、回復力は1.5倍。|孫権&br;秘勇の将軍神・孫権&br;雄飛の龍将軍・孫権|&aname(ls1233,full,super){ls1233};|
|&font2(80%){こじのもうしん};虎児の猛心		|>|[回復]|HP50％以上で、回復タイプの攻撃力が3倍、回復力は1.5倍。|ミニ孫権&br;秘勇の将軍神・ミニ孫権|&aname(ls1813,full,super){ls1813};|
|&font2(80%){めいさつのおうい};明察の王威		|>|[回復]|回復タイプのHPと回復力が1.2倍。&br;HP50％以上で、回復タイプの攻撃力が3.5倍。|勇壮の将軍神・孫権|&aname(ls1740,full,super){ls1740};|
|&font2(80%){せいかちょうるーじゅ};聖火鳥ルージュ		|>|[回復]|回復タイプのHPと回復力が1.2倍。&br;HPに応じて回復タイプの攻撃力が上昇、最大3.3倍。((HP満タンで3.3倍、HP50％以上で3.15倍、HP50％未満で3倍))|紅蓮華飛速・エキドナロココ|&aname(ls1886,full,super){ls1886};|
|&font2(80%){なかまのじょねん};仲間の除念		|>|[回復]|総HPが半減するが、回復タイプの攻撃力が3倍。|ヒナ&br;除念能力・ヒナ|&aname(ls1043,full,super){ls1043};|
|&font2(80%){さばいばーだいぞうしょく};サバイバー大増殖		|>|[マシン]|マシンタイプの攻撃力が1.5倍。|シェル・ファクトリーγ|&aname(ls2157,full,super){ls2157};|
|&font2(80%){だいちけずり};大地削り			|>|[マシン]|マシンタイプの攻撃力が2倍。|シェル・フォートレス|&aname(ls2158,full,super){ls2158};|
|&font2(80%){ひかりのきりふだ};光の切札			|>|[マシン]|マシンタイプの攻撃力が2倍。|浄化の精霊ウルス|&aname(ls2173,full,super){ls2173};|
|&font2(80%){あるかでぃあすのかがやき};アルカディアスの輝き	|>|[マシン]|マシンタイプの攻撃力と回復力が2倍。|聖霊王アルカディアス|&aname(ls2174,full,super){ls2174};|
|ハローう			|>|[マシン]|マシンタイプの攻撃力と回復力が1.5倍。|ロジコマ|&aname(ls2131,full,super){ls2131};|
|とつげき～!!		|>|[マシン]|マシンタイプの全パラメータが1.5倍。|歩兵兵站用輸送支援車両・ロジコマ|&aname(ls2132,full,super){ls2132};|
|&font2(80%){えんこんのきそうじゅつ};炎魂の機操術		|>|[マシン]|マシンタイプの全パラメータが1.5倍。&br;火属性の攻撃力が1.5倍|赤の人形使い・ピュール&br;破壊の赤機操士・ピュール＝マキナ|&aname(ls2293,full,super){ls2293};|
|&font2(80%){すいこんのきそうじゅつ};水魂の機操術		|>|[マシン]|マシンタイプの全パラメータが1.5倍。&br;水属性の攻撃力が1.5倍|青の人形使い・シャリテ&br;再生の青機操士・シャリテ＝マキナ|&aname(ls2295,full,super){ls2295};|
|&font2(80%){ふうこんのきそうじゅつ};風魂の機操術		|>|[マシン]|マシンタイプの全パラメータが1.5倍。&br;木属性の攻撃力が1.5倍|緑の人形使い・クラジュ&br;創造の緑機操士・クラジュ＝マキナ|&aname(ls2297,full,super){ls2297};|
|ジャッジメント・アロー	|>|[マシン]|スキル使用時、マシンタイプの攻撃力が2倍。|雷光の使徒ミール|&aname(ls2159,full,super){ls2159};|
|フォトニック・チャージ	|>|[マシン]|スキル使用時、マシンタイプの攻撃力が2.5倍。|聖天使クラウゼ・バルキューラ|&aname(ls2160,full,super){ls2160};|
|ルビーコンバータ		|>|[マシン]|マシンタイプの攻撃力が3倍。&br;スキル使用時、火属性の攻撃力が1.5倍。|灼翼機導獣・マルカブ|&aname(ls2190,full,super){ls2190};|
|サファイアコンバータ	|>|[マシン]|マシンタイプの攻撃力が3倍。&br;スキル使用時、水属性の攻撃力が1.5倍。|氷牙機導獣・アルフェッカ|&aname(ls2191,full,super){ls2191};|
|エメラルドコンバータ	|>|[マシン]|マシンタイプの攻撃力が3倍。&br;スキル使用時、木属性の攻撃力が1.5倍。|風翼機導獣・ファクト|&aname(ls2192,full,super){ls2192};|
|トパーズコンバータ		|>|[マシン]|マシンタイプの攻撃力が3倍。&br;スキル使用時、光属性の攻撃力が1.5倍。|閃爪機導獣・レオニス|&aname(ls2193,full,super){ls2193};|
|アメジストコンバータ	|>|[マシン]|マシンタイプの攻撃力が3倍。&br;スキル使用時、闇属性の攻撃力が1.5倍。|冥眼機導獣・カッカブ|&aname(ls2194,full,super){ls2194};|
|ルビーコーティング		|>|[マシン]|マシンタイプの攻撃力と回復力が2倍。&br;スキル使用時、火属性の攻撃力が1.5倍。|暴炎機導龍・トゥバン|&aname(ls2185,full,super){ls2185};|
|サファイアコーティング	|>|[マシン]|マシンタイプの攻撃力と回復力が2倍。&br;スキル使用時、水属性の攻撃力が1.5倍。|深海機導龍・サダルメリク|&aname(ls2186,full,super){ls2186};|
|エメラルドコーティング	|>|[マシン]|マシンタイプの攻撃力と回復力が2倍。&br;スキル使用時、木属性の攻撃力が1.5倍。|烈風機導龍・アルナイル|&aname(ls2187,full,super){ls2187};|
